year,hemisphere,min,mean,max
1979,south,2.911,11.719137362637362,18.361
1980,south,2.521,11.236289617486339,19.092
1981,south,2.694,11.4168087431694,18.856
1982,south,2.89,11.658065934065934,18.55
1983,south,2.843,11.369912568306011,18.811
1984,south,2.382,11.449677595628415,18.37
1985,south,2.602,11.63382967032967,18.931
1986,south,2.953,11.071322404371585,18.027
1987,south,3.01,12.901595454545454,18.524
1988,south,2.639,11.685189265536723,18.785
1989,south,2.723,11.425679452054794,18.274
1990,south,2.784,11.409594520547945,18.379
1991,south,2.554,11.54487397260274,18.671
1992,south,2.492,11.398617486338798,18.467
1993,south,2.281,11.419939726027398,18.71
1994,south,3.083,11.773969863013699,18.827
1995,south,3.33,11.794756164383562,18.762
1996,south,2.597,11.769128415300546,18.831
1997,south,2.264,11.39005205479452,18.792
1998,south,2.772,11.738372602739727,19.244
1999,south,2.707,11.760682191780822,18.981
2000,south,2.582,11.747226775956284,19.159
2001,south,3.441,11.672624657534246,18.494
2002,south,2.697,11.221608219178082,18.116
2003,south,3.626,11.969287671232877,18.68
2004,south,3.259,11.961497267759563,19.124
2005,south,2.804,11.694879452054794,19.295
2006,south,2.487,11.460912328767122,19.36
2007,south,2.723,11.687106849315068,19.086
2008,south,3.692,12.239407103825137,18.298
2009,south,2.671,12.048591780821917,19.299
2010,south,2.842,12.106791780821919,18.998
2011,south,2.319,11.500572602739727,18.954
2012,south,3.111,12.004437158469946,19.478
2013,south,3.679,12.523605479452055,19.608
2014,south,3.548,12.776126027397261,20.201
2015,south,3.544,12.414101369863014,18.912
2016,south,2.616,11.20211475409836,18.581
2017,south,2.08,10.74892602739726,18.145
2018,south,2.2,10.999969863013698,18.315
2019,south,2.427,10.876060273972604,18.489
2020,south,2.711,11.602401639344261,19.062
2021,south,2.68,11.578682191780821,18.893
2022,south,1.957,10.726002739726027,18.276
2023,south,1.766,9.852698630136986,16.988
