hemisphere,nday,min,q1,mean,median,q3,max
north,0,12.484,13.0595,13.465589743589744,13.442,14.030000000000001,14.319
north,1,12.6,13.1195,13.551725,13.4795,14.093250000000001,14.997
north,2,12.634,13.143,13.553948717948717,13.418,14.0915,14.456
north,3,12.724,13.212499999999999,13.631025,13.55,14.18525,14.922
north,4,12.834,13.171,13.642641025641026,13.566,14.201,14.494
north,5,12.772,13.2475,13.71755,13.619499999999999,14.256,14.929
north,6,12.75,13.2625,13.743615384615385,13.631,14.293,14.689
north,7,12.74,13.277999999999999,13.812375,13.7975,14.32125,14.993
north,8,12.847,13.314,13.824923076923078,13.794,14.3545,14.701
north,9,12.87,13.39525,13.88985,13.878499999999999,14.404,15.19
north,10,12.892,13.474499999999999,13.911051282051282,13.885,14.4015,14.819
north,11,12.887,13.495000000000001,13.976075,13.9655,14.48,15.327
north,12,12.874,13.492,14.00825,14.0125,14.549249999999999,14.921
north,13,12.851,13.546,14.074219512195121,14.025,14.617,15.352
north,14,12.883,13.5785,14.090625,14.0465,14.59125,15.011
north,15,13.033,13.65,14.15639024390244,14.15,14.588,15.5
north,16,13.058,13.71425,14.18075,14.1525,14.7005,15.109
north,17,13.119,13.762,14.22860975609756,14.237,14.668,15.517
north,18,13.177,13.767500000000002,14.27075,14.293,14.76125,15.166
north,19,13.212,13.818,14.316585365853658,14.338,14.796,15.709
north,20,13.215,13.810500000000001,14.323550000000001,14.2445,14.84675,15.314
north,21,13.217,13.889,14.374,14.373,14.906,15.679
north,22,13.318,13.921,14.4047,14.371500000000001,14.939,15.396
north,23,13.427,13.963,14.453390243902438,14.467,14.946,15.745
north,24,13.433,13.97825,14.46125,14.5265,14.93375,15.447
north,25,13.352,13.982,14.508560975609756,14.525,15,15.686
north,26,13.272,14.04475,14.512775,14.53,15.0805,15.551
north,27,13.401,14.064,14.589170731707318,14.625,15.083,15.777
north,28,13.45,14.0485,14.57685,14.5705,15.173,15.554
north,29,13.563,14.117,14.642780487804878,14.653,15.167,15.912
north,30,13.64,14.1675,14.650025,14.568999999999999,15.219249999999999,15.68
north,31,13.752,14.209,14.727780487804878,14.706,15.252,15.857
north,32,13.833,14.23975,14.73555,14.729,15.344999999999999,15.737
north,33,13.892,14.255,14.779365853658536,14.803,15.298,15.898
north,34,13.864,14.26975,14.766575,14.745000000000001,15.3645,15.719
north,35,13.87,14.269,14.811853658536585,14.855,15.365,15.877
north,36,13.861,14.282,14.808825,14.8415,15.38875,15.76
north,37,13.797,14.277,14.845487804878049,14.886,15.313,15.94
north,38,13.831,14.34375,14.8753,14.9055,15.38125,15.888
north,39,13.772,14.375,14.903,14.985,15.377,15.99
north,40,13.791,14.362,14.902375,14.9665,15.378499999999999,15.933
north,41,13.809,14.394,14.919048780487804,15.057,15.318,16.099
north,42,13.844,14.45825,14.926675,15.027000000000001,15.370999999999999,15.999
north,43,13.865,14.492,14.966682926829268,15.021,15.382,16.289
north,44,13.831,14.509,14.9807,15.0075,15.437,16.056
north,45,13.875,14.583,15.020365853658536,15.034,15.445,16.323
north,46,13.902,14.51,15.01825,15.01,15.48375,16.095
north,47,13.954,14.486,15.06039024390244,15.037,15.473,16.343
north,48,13.968,14.5365,15.04785,15.044,15.52,16.095
north,49,14.009,14.596,15.074243902439024,15.132,15.5,16.291
north,50,14.065,14.648500000000002,15.0941,15.119,15.521,16.17
north,51,14.109,14.627,15.132780487804878,15.194,15.523,16.293
north,52,14.151,14.659749999999999,15.132725,15.2035,15.577,16.238
north,53,14.195,14.699,15.158951219512195,15.227,15.535,16.401
north,54,14.134,14.636999999999999,15.1448,15.288,15.590749999999998,16.28
north,55,14.172,14.652,15.166195121951219,15.262,15.553,16.579
north,56,14.187,14.6545,15.155875,15.2345,15.5455,16.352
north,57,14.166,14.676,15.205024390243903,15.301,15.611,16.551
north,58,14.291,14.66125,15.20335,15.2305,15.64,16.22
north,59,14.336,14.682,15.227829268292682,15.21,15.578,16.635
north,60,14.293,14.723749999999999,15.2165,15.2125,15.61975,16.157
north,61,14.25,14.742,15.227341463414634,15.222,15.686,16.457
north,62,14.23,14.7245,15.211275,15.214500000000001,15.71325,16.248
north,63,14.186,14.808,15.232414634146341,15.296,15.637,16.568
north,64,14.13,14.758000000000001,15.2129,15.2485,15.589,16.302
north,65,14.177,14.773,15.222585365853659,15.235,15.554,16.547
north,66,14.241,14.75675,15.21035,15.227,15.55725,16.289
north,67,14.26,14.796,15.224146341463415,15.278,15.57,16.536
north,68,14.306,14.8065,15.218350000000001,15.264,15.52925,16.244
north,69,14.319,14.865,15.235975609756098,15.273,15.581,16.513
north,70,14.364,14.783500000000002,15.21475,15.2025,15.52725,16.349
north,71,14.353,14.818,15.227195121951219,15.202,15.572,16.414
north,72,14.331,14.72475,15.1987,15.205,15.5945,16.412
north,73,14.351,14.708,15.185634146341464,15.169,15.607,16.31
north,74,14.317,14.7075,15.1752,15.1895,15.53125,16.214
north,75,14.28,14.73,15.190926829268292,15.173,15.562,16.467
north,76,14.257,14.633000000000001,15.137875,15.163,15.53625,16.069
north,77,14.193,14.556,15.15551219512195,15.135,15.577,16.505
north,78,14.231,14.6585,15.1169,15.131,15.50925,16.212
north,79,14.227,14.618,15.137170731707316,15.167,15.505,16.349
north,80,14.171,14.584249999999999,15.083075,15.1165,15.482,16.057
north,81,14.15,14.547,15.106390243902439,15.184,15.515,16.279
north,82,14.12,14.4815,15.05955,15.165,15.539250000000001,15.976
north,83,14.123,14.449,15.07819512195122,15.146,15.56,16.264
north,84,14.197,14.49,15.046775,15.1105,15.55425,15.964
north,85,14.199,14.475,15.058048780487805,15.149,15.486,16.06
north,86,14.211,14.43,15.0107,15.1035,15.487,15.986
north,87,14.194,14.451,15.021512195121952,15.146,15.506,15.957
north,88,14.096,14.38575,14.98245,15.095500000000001,15.4275,15.891
north,89,14.06,14.321,14.984780487804878,15.14,15.45,15.982
north,90,14.014,14.334750000000001,14.926124999999999,15.093,15.3875,15.886
north,91,14.013,14.314,14.904731707317072,14.993,15.389,15.945
north,92,13.966,14.308,14.85535,14.931999999999999,15.24325,15.914
north,93,13.889,14.33,14.846317073170733,14.977,15.335,15.943
north,94,13.767,14.30275,14.790825,14.850000000000001,15.165500000000002,15.734
north,95,13.627,14.257,14.786731707317074,14.937,15.268,15.859
north,96,13.539,14.24925,14.72875,14.7945,15.176000000000002,15.707
north,97,13.565,14.254,14.718463414634146,14.803,15.16,15.794
north,98,13.554,14.200750000000001,14.653725,14.717,15.08925,15.653
north,99,13.547,14.199,14.649463414634146,14.686,15.116,15.761
north,100,13.515,14.17425,14.586225,14.629,14.994499999999999,15.644
north,101,13.462,14.119,14.566926829268292,14.606,14.979,15.655
north,102,13.5,14.01125,14.501625,14.5425,14.908750000000001,15.652
north,103,13.49,14.035,14.497048780487805,14.498,14.942,15.627
north,104,13.431,13.995000000000001,14.4309,14.485,14.85475,15.523
north,105,13.394,13.999,14.44139024390244,14.411,14.809,15.528
north,106,13.328,13.9365,14.3585,14.327,14.78,15.509
north,107,13.254,13.898,14.360024390243902,14.301,14.792,15.51
north,108,13.214,13.88625,14.261675,14.215,14.66275,15.39
north,109,13.23,13.881,14.292146341463415,14.245,14.685,15.387
north,110,13.262,13.84025,14.22685,14.207,14.61925,15.376
north,111,13.221,13.875,14.232829268292683,14.161,14.606,15.276
north,112,13.279,13.813500000000001,14.163025,14.099499999999999,14.588750000000001,15.406
north,113,13.254,13.793,14.16360975609756,14.097,14.571,15.225
north,114,13.307,13.69525,14.075775,14.062999999999999,14.47725,15.259
north,115,13.179,13.688,14.071121951219512,13.969,14.418,15.141
north,116,13.103,13.60825,13.97835,13.947,14.358749999999999,15.117
north,117,13.08,13.58,13.982073170731708,13.882,14.391,15.108
north,118,13.033,13.497,13.8931,13.8125,14.290000000000001,14.996
north,119,13.016,13.466,13.884170731707316,13.783,14.285,14.997
north,120,12.862,13.35975,13.701925,13.620000000000001,14.0825,14.859
north,121,12.746,13.295,13.678317073170732,13.549,14.134,14.786
north,122,12.689,13.251750000000001,13.596425,13.546,13.93275,14.718
