hemisphere,nday,min,q1,mean,median,q3,max
south,0,4.575,6.304,6.862410256410256,6.771,7.3919999999999995,9.393
south,1,4.499,6.3325,6.728075,6.6745,7.0695,9.273
south,2,4.378,5.9254999999999995,6.515128205128205,6.449,6.9145,9.154
south,3,4.21,6.02,6.4014750000000005,6.336,6.7585,8.983
south,4,4.065,5.676,6.207871794871795,6.076,6.5954999999999995,8.821
south,5,3.951,5.72075,6.10825,6.03,6.507,8.724
south,6,3.867,5.4015,5.922102564102564,5.762,6.3870000000000005,8.544
south,7,3.764,5.348999999999999,5.811725,5.6775,6.274749999999999,8.423
south,8,3.628,5.106,5.616307692307692,5.454,6.2035,8.216
south,9,3.582,5.04,5.52595,5.364000000000001,6.1057500000000005,8.033
south,10,3.509,4.877,5.359538461538461,5.18,5.9955,7.849
south,11,3.441,4.844250000000001,5.277175,5.1265,5.85475,7.613
south,12,3.391,4.63725,5.09865,4.9375,5.624,7.492
south,13,3.338,4.547,5.023048780487805,4.838,5.564,7.387
south,14,3.282,4.392250000000001,4.86315,4.657,5.2995,7.193
south,15,3.138,4.261,4.790585365853659,4.597,5.379,7.054
south,16,3.069,4.1674999999999995,4.6502,4.479,5.2067499999999995,6.841
south,17,3.011,4.075,4.5757560975609755,4.408,5.196,6.647
south,18,2.97,4.000249999999999,4.44365,4.288,5.02,6.382
south,19,2.905,3.914,4.366268292682927,4.232,4.984,5.864
south,20,2.839,3.859,4.257075,4.1245,4.8435,5.7
south,21,2.788,3.698,4.175390243902439,4.041,4.749,5.512
south,22,2.724,3.662,4.083775,3.9645,4.61275,5.42
south,23,2.623,3.505,3.9998048780487805,3.912,4.545,5.241
south,24,2.593,3.5717499999999998,3.919275,3.8120000000000003,4.47925,5.129
south,25,2.497,3.436,3.8521219512195124,3.738,4.442,5.025
south,26,2.382,3.4585,3.77845,3.664,4.34,4.901
south,27,2.319,3.372,3.727268292682927,3.612,4.232,4.774
south,28,2.323,3.3834999999999997,3.65505,3.5549999999999997,4.19425,4.677
south,29,2.249,3.236,3.5929268292682925,3.514,4.078,4.65
south,30,2.222,3.225,3.54195,3.4610000000000003,3.96675,4.573
south,31,2.178,3.159,3.4746829268292685,3.42,3.77,4.52
