hemisphere,date,nday,extent_m_sq_km
north,2012-01-01,0,13.353
north,2012-01-02,1,13.421
north,2012-01-03,2,13.379
north,2012-01-04,3,13.414
north,2012-01-05,4,13.417
north,2012-01-06,5,13.404
north,2012-01-07,6,13.477
north,2012-01-08,7,13.544
north,2012-01-09,8,13.64
north,2012-01-10,9,13.691
north,2012-01-11,10,13.749
north,2012-01-12,11,13.879
north,2012-01-13,12,13.883
north,2012-01-14,13,13.84
north,2012-01-15,14,13.703
north,2012-01-16,15,13.624
north,2012-01-17,16,13.599
north,2012-01-18,17,13.655
north,2012-01-19,18,13.673
north,2012-01-20,19,13.676
north,2012-01-21,20,13.782
north,2012-01-22,21,13.89
north,2012-01-23,22,13.964
north,2012-01-24,23,13.982
north,2012-01-25,24,13.914
north,2012-01-26,25,13.962
north,2012-01-27,26,13.93
north,2012-01-28,27,14.048
north,2012-01-29,28,14.035
north,2012-01-30,29,14.036
north,2012-01-31,30,14.048
north,2012-02-01,31,14.11
north,2012-02-02,32,14.137
north,2012-02-03,33,14.078
north,2012-02-04,34,14.11
north,2012-02-05,35,14.169
north,2012-02-06,36,14.204
north,2012-02-07,37,14.263
north,2012-02-08,38,14.356
north,2012-02-09,39,14.325
north,2012-02-10,40,14.353
north,2012-02-11,41,14.456
north,2012-02-12,42,14.546
north,2012-02-13,43,14.585
north,2012-02-14,44,14.663
north,2012-02-15,45,14.697
north,2012-02-16,46,14.678
north,2012-02-17,47,14.675
north,2012-02-18,48,14.71
north,2012-02-19,49,14.677
north,2012-02-20,50,14.697
north,2012-02-21,51,14.709
north,2012-02-22,52,14.729
north,2012-02-23,53,14.797
north,2012-02-24,54,14.786
north,2012-02-25,55,14.817
north,2012-02-26,56,14.854
north,2012-02-27,57,14.853
north,2012-02-28,58,14.997
north,2012-02-29,59,15.016
north,2012-03-01,60,15.133
north,2012-03-02,61,15.196
north,2012-03-03,62,15.212
north,2012-03-04,63,15.298
north,2012-03-05,64,15.263
north,2012-03-06,65,15.211
north,2012-03-07,66,15.187
north,2012-03-08,67,15.169
north,2012-03-09,68,15.2
north,2012-03-10,69,15.17
north,2012-03-11,70,15.168
north,2012-03-12,71,15.167
north,2012-03-13,72,15.069
north,2012-03-14,73,15.078
north,2012-03-15,74,15.266
north,2012-03-16,75,15.29
north,2012-03-17,76,15.294
north,2012-03-18,77,15.307
north,2012-03-19,78,15.29
north,2012-03-20,79,15.291
north,2012-03-21,80,15.218
north,2012-03-22,81,15.204
north,2012-03-23,82,15.165
north,2012-03-24,83,15.157
north,2012-03-25,84,15.107
north,2012-03-26,85,15.166
north,2012-03-27,86,15.152
north,2012-03-28,87,15.16
north,2012-03-29,88,15.193
north,2012-03-30,89,15.14
north,2012-03-31,90,15.163
north,2012-04-01,91,15.107
north,2012-04-02,92,15.077
north,2012-04-03,93,15.117
north,2012-04-04,94,15.065
north,2012-04-05,95,14.942
north,2012-04-06,96,14.919
north,2012-04-07,97,14.803
north,2012-04-08,98,14.853
north,2012-04-09,99,14.796
north,2012-04-10,100,14.786
north,2012-04-11,101,14.705
north,2012-04-12,102,14.687
north,2012-04-13,103,14.655
north,2012-04-14,104,14.657
north,2012-04-15,105,14.679
north,2012-04-16,106,14.731
north,2012-04-17,107,14.663
north,2012-04-18,108,14.613
north,2012-04-19,109,14.579
north,2012-04-20,110,14.603
north,2012-04-21,111,14.597
north,2012-04-22,112,14.523
north,2012-04-23,113,14.501
north,2012-04-24,114,14.455
north,2012-04-25,115,14.39
north,2012-04-26,116,14.272
north,2012-04-27,117,14.164
north,2012-04-28,118,14.091
north,2012-04-29,119,13.94
north,2012-04-30,120,13.803
north,2012-05-01,121,13.596
north,2012-05-02,122,13.584
north,2012-05-03,123,13.562
north,2012-05-04,124,13.491
north,2012-05-05,125,13.477
north,2012-05-06,126,13.461
north,2012-05-07,127,13.442
north,2012-05-08,128,13.375
north,2012-05-09,129,13.353
north,2012-05-10,130,13.359
north,2012-05-11,131,13.377
north,2012-05-12,132,13.308
north,2012-05-13,133,13.22
north,2012-05-14,134,13.117
north,2012-05-15,135,13.067
north,2012-05-16,136,13.008
north,2012-05-17,137,12.967
north,2012-05-18,138,12.957
north,2012-05-19,139,12.926
north,2012-05-20,140,12.807
north,2012-05-21,141,12.727
north,2012-05-22,142,12.649
north,2012-05-23,143,12.664
north,2012-05-24,144,12.594
north,2012-05-25,145,12.539
north,2012-05-26,146,12.553
north,2012-05-27,147,12.516
north,2012-05-28,148,12.499
north,2012-05-29,149,12.429
north,2012-05-30,150,12.4
north,2012-05-31,151,12.342
north,2012-06-01,152,12.111
north,2012-06-02,153,12.042
north,2012-06-03,154,11.97
north,2012-06-04,155,11.975
north,2012-06-05,156,11.883
north,2012-06-06,157,11.744
north,2012-06-07,158,11.558
north,2012-06-08,159,11.376
north,2012-06-09,160,11.205
north,2012-06-10,161,11.072
north,2012-06-11,162,10.947
north,2012-06-12,163,10.838
