hemisphere,date,nday,extent_m_sq_km
south,2023-01-01,0,4.575
south,2023-01-02,1,4.499
south,2023-01-03,2,4.378
south,2023-01-04,3,4.21
south,2023-01-05,4,4.065
south,2023-01-06,5,3.951
south,2023-01-07,6,3.867
south,2023-01-08,7,3.764
south,2023-01-09,8,3.628
south,2023-01-10,9,3.582
south,2023-01-11,10,3.509
south,2023-01-12,11,3.441
south,2023-01-13,12,3.391
south,2023-01-14,13,3.338
south,2023-01-15,14,3.282
south,2023-01-16,15,3.138
south,2023-01-17,16,3.069
south,2023-01-18,17,3.011
south,2023-01-19,18,2.97
south,2023-01-20,19,2.905
south,2023-01-21,20,2.839
south,2023-01-22,21,2.788
south,2023-01-23,22,2.724
south,2023-01-24,23,2.623
south,2023-01-25,24,2.593
south,2023-01-26,25,2.497
south,2023-01-27,26,2.382
south,2023-01-28,27,2.319
south,2023-01-29,28,2.323
south,2023-01-30,29,2.249
south,2023-01-31,30,2.222
south,2023-02-01,31,2.178
south,2023-02-02,32,2.178
south,2023-02-03,33,2.136
south,2023-02-04,34,2.075
south,2023-02-05,35,2.04
south,2023-02-06,36,2.037
south,2023-02-07,37,2.004
south,2023-02-08,38,1.982
south,2023-02-09,39,1.989
south,2023-02-10,40,1.897
south,2023-02-11,41,1.916
south,2023-02-12,42,1.864
south,2023-02-13,43,1.871
south,2023-02-14,44,1.891
south,2023-02-15,45,1.834
south,2023-02-16,46,1.915
south,2023-02-17,47,1.796
south,2023-02-18,48,1.793
south,2023-02-19,49,1.766
south,2023-02-20,50,1.79
south,2023-02-21,51,1.797
south,2023-02-22,52,1.815
south,2023-02-23,53,1.834
south,2023-02-24,54,1.824
south,2023-02-25,55,1.804
south,2023-02-26,56,1.823
south,2023-02-27,57,1.856
south,2023-02-28,58,1.848
south,2023-03-01,59,1.907
south,2023-03-02,60,1.908
south,2023-03-03,61,1.877
south,2023-03-04,62,1.896
south,2023-03-05,63,1.939
south,2023-03-06,64,2.034
south,2023-03-07,65,2.104
south,2023-03-08,66,2.209
south,2023-03-09,67,2.349
south,2023-03-10,68,2.348
south,2023-03-11,69,2.361
south,2023-03-12,70,2.418
south,2023-03-13,71,2.51
south,2023-03-14,72,2.537
south,2023-03-15,73,2.635
south,2023-03-16,74,2.666
south,2023-03-17,75,2.678
south,2023-03-18,76,2.785
south,2023-03-19,77,2.847
south,2023-03-20,78,2.917
south,2023-03-21,79,2.953
south,2023-03-22,80,3.098
south,2023-03-23,81,3.278
south,2023-03-24,82,3.461
south,2023-03-25,83,3.602
south,2023-03-26,84,3.737
south,2023-03-27,85,3.767
south,2023-03-28,86,3.831
south,2023-03-29,87,3.912
south,2023-03-30,88,4.031
south,2023-03-31,89,4.124
south,2023-04-01,90,4.3
south,2023-04-02,91,4.41
south,2023-04-03,92,4.454
south,2023-04-04,93,4.537
south,2023-04-05,94,4.602
south,2023-04-06,95,4.709
south,2023-04-07,96,4.824
south,2023-04-08,97,4.891
south,2023-04-09,98,4.901
south,2023-04-10,99,4.971
south,2023-04-11,100,5.106
south,2023-04-12,101,5.215
south,2023-04-13,102,5.301
south,2023-04-14,103,5.373
south,2023-04-15,104,5.488
south,2023-04-16,105,5.505
south,2023-04-17,106,5.566
south,2023-04-18,107,5.65
south,2023-04-19,108,5.721
south,2023-04-20,109,5.749
south,2023-04-21,110,5.853
south,2023-04-22,111,6.007
south,2023-04-23,112,6.099
