hemisphere,date,nday,extent_m_sq_km
north,2024-01-01,0,13.206
north,2024-01-02,1,13.3
north,2024-01-03,2,13.429
north,2024-01-04,3,13.449
north,2024-01-05,4,13.59
north,2024-01-06,5,13.704
north,2024-01-07,6,13.879
north,2024-01-08,7,13.754
north,2024-01-09,8,13.778
north,2024-01-10,9,13.885
north,2024-01-11,10,13.92
north,2024-01-12,11,13.904
north,2024-01-13,12,13.907
north,2024-01-14,13,13.938
north,2024-01-15,14,13.926
north,2024-01-16,15,13.92
north,2024-01-17,16,13.976
north,2024-01-18,17,14.038
north,2024-01-19,18,13.976
north,2024-01-20,19,14.025
