hemisphere,date,nday,extent_m_sq_km
south,2024-01-01,0,6.009
south,2024-01-02,1,5.871
south,2024-01-03,2,5.788
south,2024-01-04,3,5.679
south,2024-01-05,4,5.392
south,2024-01-06,5,5.189
south,2024-01-07,6,5.073
south,2024-01-08,7,4.921
south,2024-01-09,8,4.852
south,2024-01-10,9,4.613
south,2024-01-11,10,4.462
south,2024-01-12,11,4.351
south,2024-01-13,12,4.273
south,2024-01-14,13,3.991
south,2024-01-15,14,3.851
south,2024-01-16,15,3.748
south,2024-01-17,16,3.574
south,2024-01-18,17,3.468
south,2024-01-19,18,3.405
south,2024-01-20,19,3.295
south,2024-01-21,20,3.182
south,2024-01-22,21,3.129
south,2024-01-23,22,3.022
south,2024-01-24,23,2.986
south,2024-01-25,24,2.939
south,2024-01-26,25,2.86
south,2024-01-27,26,2.713
south,2024-01-28,27,2.679
south,2024-01-29,28,2.582
south,2024-01-30,29,2.48
south,2024-01-31,30,2.428
south,2024-02-01,31,2.347
south,2024-02-02,32,2.361
south,2024-02-03,33,2.297
south,2024-02-04,34,2.302
south,2024-02-05,35,2.338
south,2024-02-06,36,2.25
south,2024-02-07,37,2.203
south,2024-02-08,38,2.2
south,2024-02-09,39,2.147
south,2024-02-10,40,2.109
south,2024-02-11,41,2.085
south,2024-02-12,42,2.06
south,2024-02-13,43,2.067
south,2024-02-14,44,2.042
south,2024-02-15,45,2.016
south,2024-02-16,46,1.988
south,2024-02-17,47,1.977
south,2024-02-18,48,1.974
south,2024-02-19,49,1.991
south,2024-02-20,50,1.993
south,2024-02-21,51,1.994
south,2024-02-22,52,2.001
south,2024-02-23,53,2.027
south,2024-02-24,54,2.075
south,2024-02-25,55,2.135
south,2024-02-26,56,2.203
south,2024-02-27,57,2.269
south,2024-02-28,58,2.301
south,2024-02-29,59,2.357
south,2024-03-01,60,2.43
south,2024-03-02,61,2.426
south,2024-03-03,62,2.459
south,2024-03-04,63,2.542
south,2024-03-05,64,2.681
south,2024-03-06,65,2.753
south,2024-03-07,66,2.809
south,2024-03-08,67,2.873
south,2024-03-09,68,2.924
south,2024-03-10,69,2.985
south,2024-03-11,70,2.998
south,2024-03-12,71,2.998
south,2024-03-13,72,3.009
south,2024-03-14,73,3.076
south,2024-03-15,74,3.062
south,2024-03-16,75,3.1
south,2024-03-17,76,3.18
south,2024-03-18,77,3.149
south,2024-03-19,78,3.159
south,2024-03-20,79,3.185
south,2024-03-21,80,3.241
south,2024-03-22,81,3.331
south,2024-03-23,82,3.353
south,2024-03-24,83,3.499
south,2024-03-25,84,3.595
south,2024-03-26,85,3.755
south,2024-03-27,86,3.793
south,2024-03-28,87,3.859
south,2024-03-29,88,3.994
south,2024-03-30,89,4.098
south,2024-03-31,90,4.252
south,2024-04-01,91,4.411
south,2024-04-02,92,4.619
south,2024-04-03,93,4.778
south,2024-04-04,94,4.878
south,2024-04-05,95,4.988
south,2024-04-06,96,5.097
south,2024-04-07,97,5.208
south,2024-04-08,98,5.373
south,2024-04-09,99,5.477
south,2024-04-10,100,5.573
south,2024-04-11,101,5.692
south,2024-04-12,102,5.806
south,2024-04-13,103,5.9
south,2024-04-14,104,6.024
south,2024-04-15,105,6.198
south,2024-04-16,106,6.282
south,2024-04-17,107,6.353
south,2024-04-18,108,6.455
south,2024-04-19,109,6.595
south,2024-04-20,110,6.742
south,2024-04-21,111,6.855
south,2024-04-22,112,6.894
south,2024-04-23,113,7.034
south,2024-04-24,114,7.152
south,2024-04-25,115,7.225
south,2024-04-26,116,7.366
south,2024-04-27,117,7.497
south,2024-04-28,118,7.665
south,2024-04-29,119,7.731
south,2024-04-30,120,7.822
south,2024-05-01,121,7.841
south,2024-05-02,122,7.885
south,2024-05-03,123,8.024
south,2024-05-04,124,8.082
south,2024-05-05,125,8.167
south,2024-05-06,126,8.293
south,2024-05-07,127,8.47
south,2024-05-08,128,8.596
south,2024-05-09,129,8.709
south,2024-05-10,130,8.766
south,2024-05-11,131,8.775
south,2024-05-12,132,8.865
south,2024-05-13,133,8.917
south,2024-05-14,134,9.112
south,2024-05-15,135,9.182
south,2024-05-16,136,9.237
south,2024-05-17,137,9.352
south,2024-05-18,138,9.505
south,2024-05-19,139,9.524
south,2024-05-20,140,9.593
south,2024-05-21,141,9.791
south,2024-05-22,142,9.9
south,2024-05-23,143,9.984
south,2024-05-24,144,10.079
south,2024-05-25,145,10.126
south,2024-05-26,146,10.302
south,2024-05-27,147,10.355
south,2024-05-28,148,10.403
south,2024-05-29,149,10.46
south,2024-05-30,150,10.466
south,2024-05-31,151,10.547
south,2024-06-01,152,10.701
south,2024-06-02,153,10.765
south,2024-06-03,154,10.764
south,2024-06-04,155,10.819
south,2024-06-05,156,10.854
south,2024-06-06,157,10.916
south,2024-06-07,158,10.949
south,2024-06-08,159,11.021
south,2024-06-09,160,11.119
south,2024-06-10,161,11.22
south,2024-06-11,162,11.327
south,2024-06-12,163,11.428
south,2024-06-13,164,11.647
south,2024-06-14,165,11.738
south,2024-06-15,166,11.756
south,2024-06-16,167,11.794
south,2024-06-17,168,11.915
south,2024-06-18,169,12.016
south,2024-06-19,170,12.154
south,2024-06-20,171,12.317
south,2024-06-21,172,12.325
south,2024-06-22,173,12.44
south,2024-06-23,174,12.479
south,2024-06-24,175,12.391
south,2024-06-25,176,12.431
south,2024-06-26,177,12.526
south,2024-06-27,178,12.616
